2019-01-18 18:00:16 INFO  LOG:38 - Valid Status Code for Take Order 200
2019-01-18 18:00:16 INFO  LOG:125 - TestCase_Take_Order_VerifyStatusCode_ValidID PASSED.
2019-01-18 18:00:16 INFO  LOG:129 - Starting test case :TestCase_Complete_Order_VerifyStatusCode_InvalidFlow
2019-01-18 18:00:16 INFO  LOG:114 - InValid Status Code for Incorrect flow of Complete Order422
2019-01-18 18:00:16 INFO  LOG:136 - TestCase_Complete_Order_VerifyStatusCode_InvalidFlow PASSED.
2019-01-18 18:00:16 INFO  LOG:129 - Starting test case :TestCase_Complete_Order_VerifyStatusCode_InvalidID
2019-01-18 18:00:17 INFO  LOG:78 - InValid Status Code for Complete Order404
2019-01-18 18:00:17 INFO  LOG:136 - TestCase_Complete_Order_VerifyStatusCode_InvalidID PASSED.
2019-01-18 18:00:17 INFO  LOG:129 - Starting test case :TestCase_Complete_Order_VerifyStatusCode_ValidID
2019-01-18 18:00:17 INFO  LOG:42 - Valid Status Code for Complete Order200
2019-01-18 18:00:17 INFO  LOG:136 - TestCase_Complete_Order_VerifyStatusCode_ValidID PASSED.
2019-01-18 18:00:17 INFO  LOG:163 - Starting test case :TestCase_Cancel_Order_VerifyStatusCode_InvalidID
2019-01-18 18:00:17 INFO  LOG:110 - InValid Status Code for Cancel Order404
2019-01-18 18:00:17 INFO  LOG:170 - TestCase_Cancel_Order_VerifyStatusCode_InvalidID PASSED.
2019-01-18 18:00:17 INFO  LOG:163 - Starting test case :TestCase_Cancel_Order_VerifyStatusCode_ValidID_AfterPlaceOrder
2019-01-18 18:00:17 INFO  LOG:40 - Valid Status Code for Cancel Order200
2019-01-18 18:00:17 INFO  LOG:170 - TestCase_Cancel_Order_VerifyStatusCode_ValidID_AfterPlaceOrder PASSED.
2019-01-18 18:00:17 INFO  LOG:163 - Starting test case :TestCase_Cancel_Order_VerifyStatusCode_ValidID_AfterTakeOrder
2019-01-18 18:00:18 INFO  LOG:77 - Valid Status Code for Cancel Order200
2019-01-18 18:00:18 INFO  LOG:170 - TestCase_Cancel_Order_VerifyStatusCode_ValidID_AfterTakeOrder PASSED.
2019-01-18 18:00:18 INFO  LOG:163 - Starting test case :TestCase_cancel_Order_VerifyStatusCode_InvalidFlow
2019-01-18 18:00:18 INFO  LOG:148 - InValid Status Code for Incorrect flow of Cancel Order422
2019-01-18 18:00:18 INFO  LOG:170 - TestCase_cancel_Order_VerifyStatusCode_InvalidFlow PASSED.
2019-01-18 18:04:19 INFO  LOG:372 - Starting test case :Testcase_placeAdvanceOrder_VerifyId
2019-01-18 18:04:22 INFO  LOG:176 - Advance ID is : 833
2019-01-18 18:04:22 INFO  LOG:379 - Testcase_placeAdvanceOrder_VerifyId PASSED.
2019-01-18 18:04:22 INFO  LOG:372 - Starting test case :Testcase_placeAdvanceOrder_verifyDistancesCount
2019-01-18 18:04:22 INFO  LOG:205 - Length for Advance order is : 2
2019-01-18 18:04:22 INFO  LOG:379 - Testcase_placeAdvanceOrder_verifyDistancesCount PASSED.
2019-01-18 18:04:22 INFO  LOG:372 - Starting test case :Testcase_placeAdvanceOrder_verifyFareAboveTwoKms
2019-01-18 18:04:22 INFO  LOG:281 - Additional Fare for Advance booking is : 50.6
2019-01-18 18:04:22 INFO  LOG:379 - Testcase_placeAdvanceOrder_verifyFareAboveTwoKms PASSED.
2019-01-18 18:04:22 INFO  LOG:372 - Starting test case :Testcase_placeAdvanceOrder_verifyFareAboveTwoKms_NightCharges
2019-01-18 18:04:22 INFO  LOG:358 - Additional  Night Fare for Advance booking is : 78.96
2019-01-18 18:04:22 INFO  LOG:379 - Testcase_placeAdvanceOrder_verifyFareAboveTwoKms_NightCharges PASSED.
2019-01-18 18:04:22 INFO  LOG:372 - Starting test case :Testcase_placeAdvanceOrder_verifyFareBelowTwoKms
2019-01-18 18:04:22 INFO  LOG:241 - Fare for Advance booking is : 20.0
2019-01-18 18:04:22 INFO  LOG:379 - Testcase_placeAdvanceOrder_verifyFareBelowTwoKms PASSED.
2019-01-18 18:04:22 INFO  LOG:372 - Starting test case :Testcase_placeAdvanceOrder_verifyFareBelowTwoKms_NightCharges
2019-01-18 18:04:23 INFO  LOG:320 - Night Fare for Advance booking is : 30.0
2019-01-18 18:04:23 INFO  LOG:379 - Testcase_placeAdvanceOrder_verifyFareBelowTwoKms_NightCharges PASSED.
2019-01-18 18:04:23 INFO  LOG:372 - Starting test case :Testcase_placeOrder_verifyDistancesCount
2019-01-18 18:04:23 INFO  LOG:69 - Length is : 2
2019-01-18 18:04:23 INFO  LOG:379 - Testcase_placeOrder_verifyDistancesCount PASSED.
2019-01-18 18:04:23 INFO  LOG:372 - Starting test case :Testcase_placeOrder_verifyFareAboveTwoKms
2019-01-18 18:04:23 INFO  LOG:149 - Additional Fare is : 50.6
2019-01-18 18:04:23 INFO  LOG:379 - Testcase_placeOrder_verifyFareAboveTwoKms PASSED.
2019-01-18 18:04:23 INFO  LOG:372 - Starting test case :Testcase_placeOrder_verifyFareBelowTwoKms
2019-01-18 18:04:23 INFO  LOG:109 - Fare is : 20.0
2019-01-18 18:04:23 INFO  LOG:379 - Testcase_placeOrder_verifyFareBelowTwoKms PASSED.
2019-01-18 18:04:23 INFO  LOG:372 - Starting test case :Testcase_placeOrder_verifyID
2019-01-18 18:04:23 INFO  LOG:37 - ID is : 842
2019-01-18 18:04:23 INFO  LOG:379 - Testcase_placeOrder_verifyID PASSED.
2019-01-18 18:04:23 INFO  LOG:88 - Starting test case :TestCase_Fetch_Order_VerifyStatusCode_InvalidID
2019-01-18 18:04:24 INFO  LOG:73 - InValid Status Code404
2019-01-18 18:04:24 INFO  LOG:95 - TestCase_Fetch_Order_VerifyStatusCode_InvalidID PASSED.
2019-01-18 18:04:24 INFO  LOG:88 - Starting test case :TestCase_Fetch_Order_VerifyStatusCode_ValidID
2019-01-18 18:04:24 INFO  LOG:39 - Valid Status Code200
2019-01-18 18:04:24 INFO  LOG:95 - TestCase_Fetch_Order_VerifyStatusCode_ValidID PASSED.
2019-01-18 18:04:24 INFO  LOG:118 - Starting test case :TestCase_Take_Order_VerifyStatusCode_InvalidFlow
2019-01-18 18:04:24 INFO  LOG:103 - InValid Status Code for Incorrect flow of Take Order422
2019-01-18 18:04:24 INFO  LOG:125 - TestCase_Take_Order_VerifyStatusCode_InvalidFlow PASSED.
2019-01-18 18:04:24 INFO  LOG:118 - Starting test case :TestCase_Take_Order_VerifyStatusCode_InvalidID
2019-01-18 18:04:24 INFO  LOG:70 - InValid Status Code for Take Order404
2019-01-18 18:04:24 INFO  LOG:125 - TestCase_Take_Order_VerifyStatusCode_InvalidID PASSED.
2019-01-18 18:04:24 INFO  LOG:118 - Starting test case :TestCase_Take_Order_VerifyStatusCode_ValidID
2019-01-18 18:04:24 INFO  LOG:38 - Valid Status Code for Take Order 200
2019-01-18 18:04:24 INFO  LOG:125 - TestCase_Take_Order_VerifyStatusCode_ValidID PASSED.
2019-01-18 18:04:24 INFO  LOG:129 - Starting test case :TestCase_Complete_Order_VerifyStatusCode_InvalidFlow
2019-01-18 18:04:25 INFO  LOG:114 - InValid Status Code for Incorrect flow of Complete Order422
2019-01-18 18:04:25 INFO  LOG:136 - TestCase_Complete_Order_VerifyStatusCode_InvalidFlow PASSED.
2019-01-18 18:04:25 INFO  LOG:129 - Starting test case :TestCase_Complete_Order_VerifyStatusCode_InvalidID
2019-01-18 18:04:25 INFO  LOG:78 - InValid Status Code for Complete Order404
2019-01-18 18:04:25 INFO  LOG:136 - TestCase_Complete_Order_VerifyStatusCode_InvalidID PASSED.
2019-01-18 18:04:25 INFO  LOG:129 - Starting test case :TestCase_Complete_Order_VerifyStatusCode_ValidID
2019-01-18 18:04:25 INFO  LOG:42 - Valid Status Code for Complete Order200
2019-01-18 18:04:25 INFO  LOG:136 - TestCase_Complete_Order_VerifyStatusCode_ValidID PASSED.
2019-01-18 18:04:25 INFO  LOG:163 - Starting test case :TestCase_Cancel_Order_VerifyStatusCode_InvalidID
2019-01-18 18:04:25 INFO  LOG:110 - InValid Status Code for Cancel Order404
2019-01-18 18:04:25 INFO  LOG:170 - TestCase_Cancel_Order_VerifyStatusCode_InvalidID PASSED.
2019-01-18 18:04:25 INFO  LOG:163 - Starting test case :TestCase_Cancel_Order_VerifyStatusCode_ValidID_AfterPlaceOrder
2019-01-18 18:04:26 INFO  LOG:40 - Valid Status Code for Cancel Order200
2019-01-18 18:04:26 INFO  LOG:170 - TestCase_Cancel_Order_VerifyStatusCode_ValidID_AfterPlaceOrder PASSED.
2019-01-18 18:04:26 INFO  LOG:163 - Starting test case :TestCase_Cancel_Order_VerifyStatusCode_ValidID_AfterTakeOrder
2019-01-18 18:04:26 INFO  LOG:77 - Valid Status Code for Cancel Order200
2019-01-18 18:04:26 INFO  LOG:170 - TestCase_Cancel_Order_VerifyStatusCode_ValidID_AfterTakeOrder PASSED.
2019-01-18 18:04:26 INFO  LOG:163 - Starting test case :TestCase_cancel_Order_VerifyStatusCode_InvalidFlow
2019-01-18 18:04:26 INFO  LOG:148 - InValid Status Code for Incorrect flow of Cancel Order422
2019-01-18 18:04:26 INFO  LOG:170 - TestCase_cancel_Order_VerifyStatusCode_InvalidFlow PASSED.
2019-01-18 18:53:58 INFO  LOG:89 - Starting test case :TestCase_Fetch_Order_VerifyStatusCode_InvalidID
2019-01-18 18:53:58 ERROR LOG:39 - Exception occured : null
2019-01-18 18:53:58 ERROR LOG:114 - Exception occured : null
2019-01-18 18:53:58 INFO  LOG:74 - InValid Status Code0
2019-01-18 18:53:58 INFO  LOG:98 - TestCase_Fetch_Order_VerifyStatusCode_InvalidID FAILED
2019-01-18 18:53:58 INFO  LOG:89 - Starting test case :TestCase_Fetch_Order_VerifyStatusCode_ValidID
2019-01-18 18:53:58 ERROR LOG:39 - Exception occured : null
2019-01-18 18:53:58 ERROR LOG:114 - Exception occured : null
2019-01-18 18:53:58 INFO  LOG:40 - Valid Status Code0
2019-01-18 18:53:58 INFO  LOG:98 - TestCase_Fetch_Order_VerifyStatusCode_ValidID FAILED
2019-01-18 18:54:28 INFO  LOG:372 - Starting test case :Testcase_placeAdvanceOrder_VerifyId
2019-01-18 18:54:28 ERROR LOG:39 - Exception occured : null
2019-01-18 18:54:28 INFO  LOG:176 - Advance ID is : 0
2019-01-18 18:54:28 INFO  LOG:381 - Testcase_placeAdvanceOrder_VerifyId FAILED
2019-01-18 18:54:28 INFO  LOG:372 - Starting test case :Testcase_placeAdvanceOrder_verifyDistancesCount
2019-01-18 18:54:28 ERROR LOG:39 - Exception occured : null
2019-01-18 18:54:28 INFO  LOG:381 - Testcase_placeAdvanceOrder_verifyDistancesCount FAILED
2019-01-18 18:54:28 INFO  LOG:372 - Starting test case :Testcase_placeAdvanceOrder_verifyFareAboveTwoKms
2019-01-18 18:54:28 ERROR LOG:39 - Exception occured : null
2019-01-18 18:54:28 INFO  LOG:381 - Testcase_placeAdvanceOrder_verifyFareAboveTwoKms FAILED
2019-01-18 18:54:28 INFO  LOG:372 - Starting test case :Testcase_placeAdvanceOrder_verifyFareAboveTwoKms_NightCharges
2019-01-18 18:54:28 ERROR LOG:39 - Exception occured : null
2019-01-18 18:54:28 INFO  LOG:381 - Testcase_placeAdvanceOrder_verifyFareAboveTwoKms_NightCharges FAILED
2019-01-18 18:54:28 INFO  LOG:372 - Starting test case :Testcase_placeAdvanceOrder_verifyFareBelowTwoKms
2019-01-18 18:54:28 ERROR LOG:39 - Exception occured : null
